tenure_months,sessions_30d,support_tickets_30d,monthly_price,auto_renew,customer_id,as_of,outcome_available_at,extracted_at,cancellation_confirmed_after_30d,churn_next_30d
18,12.0,3,29.0,1,synthetic-00067,2021-03-09,2021-04-08,2024-04-29,0,0
4,16.0,2,9.0,1,synthetic-00068,2021-03-10,2021-04-09,2024-04-29,0,0
23,17.0,2,9.0,0,synthetic-00069,2021-03-11,2021-04-10,2024-04-29,0,0
39,19.0,1,9.0,0,synthetic-00070,2021-03-12,2021-04-11,2024-04-29,0,0
10,9.0,2,9.0,1,synthetic-00071,2021-03-13,2021-04-12,2024-04-29,1,1
23,16.0,0,29.0,1,synthetic-00072,2021-03-14,2021-04-13,2024-04-29,0,0
7,19.0,3,19.0,1,synthetic-00073,2021-03-15,2021-04-14,2024-04-29,0,0
33,15.0,2,19.0,1,synthetic-00074,2021-03-16,2021-04-15,2024-04-29,0,0
23,6.0,0,9.0,1,synthetic-00075,2021-03-17,2021-04-16,2024-04-29,1,1
16,,3,9.0,0,synthetic-00076,2021-03-18,2021-04-17,2024-04-29,1,1
11,18.0,0,29.0,0,synthetic-00077,2021-03-19,2021-04-18,2024-04-29,0,0
28,15.0,1,29.0,0,synthetic-00078,2021-03-20,2021-04-19,2024-04-29,0,0
33,19.0,1,29.0,1,synthetic-00079,2021-03-21,2021-04-20,2024-04-29,0,0
46,15.0,1,29.0,1,synthetic-00080,2021-03-22,2021-04-21,2024-04-29,0,0
21,13.0,0,19.0,1,synthetic-00081,2021-03-23,2021-04-22,2024-04-29,0,0
8,16.0,0,9.0,1,synthetic-00082,2021-03-24,2021-04-23,2024-04-29,0,0
40,13.0,0,29.0,1,synthetic-00083,2021-03-25,2021-04-24,2024-04-29,0,0
31,14.0,1,29.0,1,synthetic-00084,2021-03-26,2021-04-25,2024-04-29,0,0
34,13.0,1,19.0,1,synthetic-00085,2021-03-27,2021-04-26,2024-04-29,0,0
5,10.0,0,9.0,1,synthetic-00086,2021-03-28,2021-04-27,2024-04-29,0,0
15,10.0,1,29.0,1,synthetic-00087,2021-03-29,2021-04-28,2024-04-29,0,0
37,12.0,4,29.0,1,synthetic-00088,2021-03-30,2021-04-29,2024-04-29,1,1
40,17.0,3,9.0,1,synthetic-00089,2021-03-31,2021-04-30,2024-04-29,0,0
21,8.0,1,9.0,1,synthetic-00090,2021-04-01,2021-05-01,2024-04-29,0,0
39,17.0,0,29.0,1,synthetic-00091,2021-04-02,2021-05-02,2024-04-29,0,0
41,13.0,1,9.0,1,synthetic-00092,2021-04-03,2021-05-03,2024-04-29,0,0
19,15.0,1,29.0,1,synthetic-00093,2021-04-04,2021-05-04,2024-04-29,1,1
44,13.0,1,29.0,0,synthetic-00094,2021-04-05,2021-05-05,2024-04-29,1,1
14,21.0,1,9.0,1,synthetic-00095,2021-04-06,2021-05-06,2024-04-29,0,0
12,10.0,1,9.0,0,synthetic-00096,2021-04-07,2021-05-07,2024-04-29,0,0
33,12.0,1,19.0,1,synthetic-00097,2021-04-08,2021-05-08,2024-04-29,0,0
31,9.0,0,19.0,0,synthetic-00098,2021-04-09,2021-05-09,2024-04-29,0,0
7,11.0,0,29.0,0,synthetic-00099,2021-04-10,2021-05-10,2024-04-29,0,0
40,11.0,0,19.0,1,synthetic-00100,2021-04-11,2021-05-11,2024-04-29,0,0
10,10.0,0,9.0,0,synthetic-00101,2021-04-12,2021-05-12,2024-04-29,1,1
39,13.0,2,29.0,1,synthetic-00102,2021-04-13,2021-05-13,2024-04-29,0,0
1,14.0,1,29.0,0,synthetic-00103,2021-04-14,2021-05-14,2024-04-29,0,0
39,11.0,0,19.0,1,synthetic-00104,2021-04-15,2021-05-15,2024-04-29,0,0
38,7.0,1,29.0,1,synthetic-00105,2021-04-16,2021-05-16,2024-04-29,0,0
38,11.0,0,29.0,0,synthetic-00106,2021-04-17,2021-05-17,2024-04-29,0,0
32,15.0,4,29.0,0,synthetic-00107,2021-04-18,2021-05-18,2024-04-29,1,1
23,9.0,0,29.0,1,synthetic-00108,2021-04-19,2021-05-19,2024-04-29,1,1
34,15.0,1,19.0,0,synthetic-00109,2021-04-20,2021-05-20,2024-04-29,0,0
14,11.0,0,9.0,1,synthetic-00110,2021-04-21,2021-05-21,2024-04-29,0,0
38,13.0,0,19.0,1,synthetic-00111,2021-04-22,2021-05-22,2024-04-29,0,0
27,17.0,1,29.0,0,synthetic-00112,2021-04-23,2021-05-23,2024-04-29,0,0
23,21.0,0,29.0,1,synthetic-00113,2021-04-24,2021-05-24,2024-04-29,0,0
25,19.0,1,29.0,1,synthetic-00114,2021-04-25,2021-05-25,2024-04-29,0,0
28,11.0,1,19.0,0,synthetic-00115,2021-04-26,2021-05-26,2024-04-29,0,0
2,10.0,1,19.0,1,synthetic-00116,2021-04-27,2021-05-27,2024-04-29,0,0
7,13.0,1,9.0,1,synthetic-00117,2021-04-28,2021-05-28,2024-04-29,0,0
12,19.0,0,9.0,1,synthetic-00118,2021-04-29,2021-05-29,2024-04-29,0,0
6,14.0,1,9.0,0,synthetic-00119,2021-04-30,2021-05-30,2024-04-29,0,0
22,11.0,0,29.0,1,synthetic-00120,2021-05-01,2021-05-31,2024-04-29,0,0
33,17.0,1,29.0,1,synthetic-00121,2021-05-02,2021-06-01,2024-04-29,0,0
32,14.0,2,9.0,0,synthetic-00122,2021-05-03,2021-06-02,2024-04-29,0,0
23,14.0,1,19.0,1,synthetic-00123,2021-05-04,2021-06-03,2024-04-29,0,0
42,9.0,1,19.0,1,synthetic-00124,2021-05-05,2021-06-04,2024-04-29,0,0
28,22.0,0,9.0,0,synthetic-00125,2021-05-06,2021-06-05,2024-04-29,0,0
4,22.0,2,19.0,0,synthetic-00126,2021-05-07,2021-06-06,2024-04-29,0,0
37,14.0,3,19.0,1,synthetic-00127,2021-05-08,2021-06-07,2024-04-29,0,0
28,11.0,2,29.0,0,synthetic-00128,2021-05-09,2021-06-08,2024-04-29,1,1
31,12.0,2,29.0,0,synthetic-00129,2021-05-10,2021-06-09,2024-04-29,0,0
28,13.0,1,9.0,1,synthetic-00130,2021-05-11,2021-06-10,2024-04-29,0,0
27,14.0,2,19.0,0,synthetic-00131,2021-05-12,2021-06-11,2024-04-29,0,0
5,16.0,2,29.0,0,synthetic-00132,2021-05-13,2021-06-12,2024-04-29,0,0
27,12.0,2,29.0,1,synthetic-00133,2021-05-14,2021-06-13,2024-04-29,0,0
39,12.0,0,29.0,1,synthetic-00134,2021-05-15,2021-06-14,2024-04-29,0,0
15,15.0,0,29.0,0,synthetic-00135,2021-05-16,2021-06-15,2024-04-29,1,1
29,17.0,1,9.0,0,synthetic-00136,2021-05-17,2021-06-16,2024-04-29,0,0
2,20.0,3,29.0,1,synthetic-00137,2021-05-18,2021-06-17,2024-04-29,0,0
17,15.0,2,29.0,0,synthetic-00138,2021-05-19,2021-06-18,2024-04-29,0,0
21,6.0,4,29.0,0,synthetic-00139,2021-05-20,2021-06-19,2024-04-29,1,1
48,9.0,0,29.0,0,synthetic-00140,2021-05-21,2021-06-20,2024-04-29,0,0
11,15.0,1,9.0,0,synthetic-00141,2021-05-22,2021-06-21,2024-04-29,0,0
14,20.0,1,9.0,1,synthetic-00142,2021-05-23,2021-06-22,2024-04-29,0,0
20,16.0,2,19.0,1,synthetic-00143,2021-05-24,2021-06-23,2024-04-29,0,0
48,15.0,1,19.0,1,synthetic-00144,2021-05-25,2021-06-24,2024-04-29,0,0
41,12.0,1,9.0,1,synthetic-00145,2021-05-26,2021-06-25,2024-04-29,0,0
2,19.0,0,9.0,1,synthetic-00146,2021-05-27,2021-06-26,2024-04-29,0,0
12,15.0,1,29.0,0,synthetic-00147,2021-05-28,2021-06-27,2024-04-29,0,0
40,22.0,1,19.0,0,synthetic-00148,2021-05-29,2021-06-28,2024-04-29,0,0
3,16.0,1,9.0,1,synthetic-00149,2021-05-30,2021-06-29,2024-04-29,1,1
42,14.0,1,19.0,0,synthetic-00150,2021-05-31,2021-06-30,2024-04-29,0,0
14,13.0,1,19.0,1,synthetic-00151,2021-06-01,2021-07-01,2024-04-29,0,0
45,12.0,3,9.0,1,synthetic-00152,2021-06-02,2021-07-02,2024-04-29,0,0
15,13.0,0,29.0,1,synthetic-00153,2021-06-03,2021-07-03,2024-04-29,0,0
21,8.0,0,19.0,1,synthetic-00154,2021-06-04,2021-07-04,2024-04-29,0,0
32,15.0,2,9.0,1,synthetic-00155,2021-06-05,2021-07-05,2024-04-29,0,0
7,10.0,0,9.0,0,synthetic-00156,2021-06-06,2021-07-06,2024-04-29,0,0
27,18.0,1,29.0,1,synthetic-00157,2021-06-07,2021-07-07,2024-04-29,0,0
25,15.0,3,9.0,1,synthetic-00158,2021-06-08,2021-07-08,2024-04-29,0,0
38,11.0,2,9.0,1,synthetic-00159,2021-06-09,2021-07-09,2024-04-29,0,0
48,11.0,1,19.0,1,synthetic-00160,2021-06-10,2021-07-10,2024-04-29,0,0
32,20.0,3,19.0,0,synthetic-00161,2021-06-11,2021-07-11,2024-04-29,1,1
20,,1,9.0,0,synthetic-00162,2021-06-12,2021-07-12,2024-04-29,0,0
20,22.0,3,19.0,1,synthetic-00163,2021-06-13,2021-07-13,2024-04-29,0,0
21,11.0,2,9.0,1,synthetic-00164,2021-06-14,2021-07-14,2024-04-29,0,0
40,12.0,4,19.0,1,synthetic-00165,2021-06-15,2021-07-15,2024-04-29,0,0
16,19.0,1,9.0,0,synthetic-00166,2021-06-16,2021-07-16,2024-04-29,0,0
9,13.0,1,19.0,1,synthetic-00167,2021-06-17,2021-07-17,2024-04-29,0,0
17,18.0,4,29.0,1,synthetic-00168,2021-06-18,2021-07-18,2024-04-29,0,0
2,14.0,1,29.0,1,synthetic-00169,2021-06-19,2021-07-19,2024-04-29,0,0
6,15.0,0,9.0,1,synthetic-00170,2021-06-20,2021-07-20,2024-04-29,1,1
5,13.0,3,9.0,1,synthetic-00171,2021-06-21,2021-07-21,2024-04-29,0,0
38,10.0,1,9.0,1,synthetic-00172,2021-06-22,2021-07-22,2024-04-29,0,0
35,11.0,0,19.0,0,synthetic-00173,2021-06-23,2021-07-23,2024-04-29,0,0
34,14.0,1,19.0,1,synthetic-00174,2021-06-24,2021-07-24,2024-04-29,0,0
23,10.0,0,29.0,1,synthetic-00175,2021-06-25,2021-07-25,2024-04-29,0,0
35,18.0,0,29.0,1,synthetic-00176,2021-06-26,2021-07-26,2024-04-29,0,0
8,9.0,2,29.0,1,synthetic-00177,2021-06-27,2021-07-27,2024-04-29,1,1
44,8.0,0,9.0,0,synthetic-00178,2021-06-28,2021-07-28,2024-04-29,0,0
25,9.0,1,9.0,0,synthetic-00179,2021-06-29,2021-07-29,2024-04-29,0,0
46,28.0,2,29.0,1,synthetic-00180,2021-06-30,2021-07-30,2024-04-29,0,0
8,9.0,1,29.0,0,synthetic-00181,2021-07-01,2021-07-31,2024-04-29,0,0
24,11.0,1,9.0,0,synthetic-00182,2021-07-02,2021-08-01,2024-04-29,1,1
34,15.0,1,9.0,0,synthetic-00183,2021-07-03,2021-08-02,2024-04-29,0,0
24,18.0,2,29.0,1,synthetic-00184,2021-07-04,2021-08-03,2024-04-29,0,0
22,13.0,0,19.0,1,synthetic-00185,2021-07-05,2021-08-04,2024-04-29,0,0
8,-1.0,0,29.0,1,synthetic-00186,2021-07-06,2021-08-05,2024-04-29,0,0
19,8.0,1,19.0,0,synthetic-00187,2021-07-07,2021-08-06,2024-04-29,1,1
12,13.0,4,29.0,1,synthetic-00188,2021-07-08,2021-08-07,2024-04-29,0,0
15,12.0,2,29.0,1,synthetic-00189,2021-07-09,2021-08-08,2024-04-29,1,1
33,13.0,4,9.0,1,synthetic-00190,2021-07-10,2021-08-09,2024-04-29,0,0
31,16.0,3,9.0,1,synthetic-00191,2021-07-11,2021-08-10,2024-04-29,0,0
30,13.0,0,29.0,1,synthetic-00192,2021-07-12,2021-08-11,2024-04-29,0,0
18,8.0,0,9.0,1,synthetic-00193,2021-07-13,2021-08-12,2024-04-29,0,0
47,14.0,0,9.0,1,synthetic-00194,2021-07-14,2021-08-13,2024-04-29,0,0
5,6.0,1,29.0,0,synthetic-00195,2021-07-15,2021-08-14,2024-04-29,1,1
17,13.0,3,9.0,0,synthetic-00196,2021-07-16,2021-08-15,2024-04-29,1,1
6,17.0,1,9.0,1,synthetic-00197,2021-07-17,2021-08-16,2024-04-29,0,0
17,17.0,1,9.0,0,synthetic-00198,2021-07-18,2021-08-17,2024-04-29,0,0
47,17.0,0,19.0,1,synthetic-00199,2021-07-19,2021-08-18,2024-04-29,0,0
18,12.0,0,19.0,0,synthetic-00200,2021-07-20,2021-08-19,2024-04-29,1,1
44,11.0,1,29.0,0,synthetic-00201,2021-07-21,2021-08-20,2024-04-29,1,1
24,13.0,3,29.0,1,synthetic-00202,2021-07-22,2021-08-21,2024-04-29,0,0
34,13.0,0,19.0,1,synthetic-00203,2021-07-23,2021-08-22,2024-04-29,0,0
22,10.0,1,29.0,1,synthetic-00204,2021-07-24,2021-08-23,2024-04-29,0,0
13,16.0,1,9.0,1,synthetic-00205,2021-07-25,2021-08-24,2024-04-29,0,0
37,7.0,1,19.0,1,synthetic-00206,2021-07-26,2021-08-25,2024-04-29,0,0
47,9.0,1,9.0,1,synthetic-00207,2021-07-27,2021-08-26,2024-04-29,1,1
13,13.0,1,9.0,0,synthetic-00208,2021-07-28,2021-08-27,2024-04-29,0,0
38,18.0,2,29.0,1,synthetic-00209,2021-07-29,2021-08-28,2024-04-29,0,0
13,10.0,0,9.0,1,synthetic-00210,2021-07-30,2021-08-29,2024-04-29,0,0
35,11.0,1,19.0,1,synthetic-00211,2021-07-31,2021-08-30,2024-04-29,0,0
38,14.0,0,19.0,1,synthetic-00212,2021-08-01,2021-08-31,2024-04-29,1,1
22,,2,9.0,0,synthetic-00213,2021-08-02,2021-09-01,2024-04-29,0,0
36,15.0,1,29.0,1,synthetic-00214,2021-08-03,2021-09-02,2024-04-29,0,0
14,11.0,1,9.0,1,synthetic-00215,2021-08-04,2021-09-03,2024-04-29,0,0
4,16.0,2,9.0,1,synthetic-00216,2021-08-05,2021-09-04,2024-04-29,1,1
5,14.0,0,19.0,1,synthetic-00217,2021-08-06,2021-09-05,2024-04-29,0,0
22,11.0,2,9.0,1,synthetic-00218,2021-08-07,2021-09-06,2024-04-29,1,1
44,11.0,3,29.0,0,synthetic-00219,2021-08-08,2021-09-07,2024-04-29,1,1
7,15.0,2,9.0,1,synthetic-00220,2021-08-09,2021-09-08,2024-04-29,0,0
22,19.0,1,9.0,1,synthetic-00221,2021-08-10,2021-09-09,2024-04-29,0,0
34,13.0,0,9.0,1,synthetic-00222,2021-08-11,2021-09-10,2024-04-29,0,0
10,20.0,1,9.0,0,synthetic-00223,2021-08-12,2021-09-11,2024-04-29,0,0
35,10.0,0,9.0,1,synthetic-00224,2021-08-13,2021-09-12,2024-04-29,0,0
15,10.0,0,19.0,1,synthetic-00225,2021-08-14,2021-09-13,2024-04-29,0,0
39,10.0,2,9.0,0,synthetic-00226,2021-08-15,2021-09-14,2024-04-29,0,0
28,10.0,0,9.0,0,synthetic-00227,2021-08-16,2021-09-15,2024-04-29,0,0
27,,2,9.0,1,synthetic-00228,2021-08-17,2021-09-16,2024-04-29,1,1
9,18.0,2,9.0,0,synthetic-00229,2021-08-18,2021-09-17,2024-04-29,0,0
23,12.0,3,19.0,0,synthetic-00230,2021-08-19,2021-09-18,2024-04-29,0,0
42,12.0,4,29.0,1,synthetic-00231,2021-08-20,2021-09-19,2024-04-29,1,1
1,15.0,2,9.0,0,synthetic-00232,2021-08-21,2021-09-20,2024-04-29,0,0
37,8.0,0,29.0,1,synthetic-00233,2021-08-22,2021-09-21,2024-04-29,0,0
24,8.0,2,29.0,1,synthetic-00234,2021-08-23,2021-09-22,2024-04-29,1,1
35,5.0,1,9.0,1,synthetic-00235,2021-08-24,2021-09-23,2024-04-29,0,0
32,14.0,1,19.0,0,synthetic-00236,2021-08-25,2021-09-24,2024-04-29,0,0
21,,0,19.0,1,synthetic-00237,2021-08-26,2021-09-25,2024-04-29,1,1
15,24.0,1,19.0,1,synthetic-00238,2021-08-27,2021-09-26,2024-04-29,0,0
31,-1.0,1,9.0,1,synthetic-00239,2021-08-28,2021-09-27,2024-04-29,0,0
7,-1.0,2,19.0,1,synthetic-00240,2021-08-29,2021-09-28,2024-04-29,1,1
29,10.0,0,9.0,0,synthetic-00241,2021-08-30,2021-09-29,2024-04-29,1,1
5,18.0,0,29.0,0,synthetic-00242,2021-08-31,2021-09-30,2024-04-29,0,0
32,12.0,2,19.0,1,synthetic-00243,2021-09-01,2021-10-01,2024-04-29,0,0
31,,1,9.0,0,synthetic-00244,2021-09-02,2021-10-02,2024-04-29,1,1
5,12.0,2,19.0,0,synthetic-00245,2021-09-03,2021-10-03,2024-04-29,1,1
37,13.0,2,29.0,1,synthetic-00246,2021-09-04,2021-10-04,2024-04-29,0,0
20,13.0,0,29.0,1,synthetic-00247,2021-09-05,2021-10-05,2024-04-29,0,0
38,14.0,0,9.0,1,synthetic-00248,2021-09-06,2021-10-06,2024-04-29,0,0
2,12.0,1,29.0,1,synthetic-00249,2021-09-07,2021-10-07,2024-04-29,0,0
9,8.0,3,9.0,1,synthetic-00250,2021-09-08,2021-10-08,2024-04-29,1,1
24,16.0,0,9.0,1,synthetic-00251,2021-09-09,2021-10-09,2024-04-29,0,0
10,10.0,1,9.0,0,synthetic-00252,2021-09-10,2021-10-10,2024-04-29,0,0
16,16.0,4,29.0,1,synthetic-00253,2021-09-11,2021-10-11,2024-04-29,0,0
32,14.0,3,29.0,0,synthetic-00254,2021-09-12,2021-10-12,2024-04-29,0,0
7,12.0,0,19.0,0,synthetic-00255,2021-09-13,2021-10-13,2024-04-29,1,1
33,14.0,1,29.0,1,synthetic-00256,2021-09-14,2021-10-14,2024-04-29,0,0
5,14.0,3,9.0,1,synthetic-00257,2021-09-15,2021-10-15,2024-04-29,0,0
9,13.0,1,9.0,0,synthetic-00258,2021-09-16,2021-10-16,2024-04-29,0,0
29,11.0,2,29.0,0,synthetic-00259,2021-09-17,2021-10-17,2024-04-29,0,0
39,12.0,0,29.0,1,synthetic-00260,2021-09-18,2021-10-18,2024-04-29,0,0
9,11.0,0,9.0,0,synthetic-00261,2021-09-19,2021-10-19,2024-04-29,0,0
15,17.0,2,9.0,1,synthetic-00262,2021-09-20,2021-10-20,2024-04-29,0,0
45,9.0,0,19.0,0,synthetic-00263,2021-09-21,2021-10-21,2024-04-29,0,0
48,18.0,1,9.0,0,synthetic-00264,2021-09-22,2021-10-22,2024-04-29,0,0
28,8.0,4,29.0,1,synthetic-00265,2021-09-23,2021-10-23,2024-04-29,1,1
22,13.0,1,29.0,1,synthetic-00266,2021-09-24,2021-10-24,2024-04-29,0,0
17,12.0,0,9.0,1,synthetic-00267,2021-09-25,2021-10-25,2024-04-29,0,0
30,12.0,1,9.0,0,synthetic-00268,2021-09-26,2021-10-26,2024-04-29,0,0
29,11.0,3,29.0,0,synthetic-00269,2021-09-27,2021-10-27,2024-04-29,0,0
15,18.0,2,19.0,0,synthetic-00270,2021-09-28,2021-10-28,2024-04-29,1,1
2,13.0,3,9.0,1,synthetic-00271,2021-09-29,2021-10-29,2024-04-29,0,0
8,15.0,0,9.0,1,synthetic-00272,2021-09-30,2021-10-30,2024-04-29,0,0
47,15.0,2,29.0,1,synthetic-00273,2021-10-01,2021-10-31,2024-04-29,0,0
21,15.0,1,29.0,1,synthetic-00274,2021-10-02,2021-11-01,2024-04-29,0,0
24,13.0,0,9.0,1,synthetic-00275,2021-10-03,2021-11-02,2024-04-29,1,1
23,10.0,1,29.0,0,synthetic-00276,2021-10-04,2021-11-03,2024-04-29,0,0
38,9.0,1,9.0,1,synthetic-00277,2021-10-05,2021-11-04,2024-04-29,1,1
4,8.0,1,9.0,1,synthetic-00278,2021-10-06,2021-11-05,2024-04-29,0,0
4,12.0,1,19.0,0,synthetic-00279,2021-10-07,2021-11-06,2024-04-29,0,0
14,25.0,1,19.0,0,synthetic-00280,2021-10-08,2021-11-07,2024-04-29,0,0
24,-1.0,0,29.0,1,synthetic-00281,2021-10-09,2021-11-08,2024-04-29,0,0
33,12.0,3,29.0,0,synthetic-00282,2021-10-10,2021-11-09,2024-04-29,1,1
24,22.0,0,9.0,1,synthetic-00283,2021-10-11,2021-11-10,2024-04-29,0,0
22,16.0,2,19.0,1,synthetic-00284,2021-10-12,2021-11-11,2024-04-29,0,0
46,,2,29.0,0,synthetic-00285,2021-10-13,2021-11-12,2024-04-29,0,0
8,20.0,1,19.0,0,synthetic-00286,2021-10-14,2021-11-13,2024-04-29,0,0
28,8.0,0,9.0,1,synthetic-00287,2021-10-15,2021-11-14,2024-04-29,0,0
27,17.0,1,9.0,1,synthetic-00288,2021-10-16,2021-11-15,2024-04-29,0,0
23,14.0,3,19.0,1,synthetic-00289,2021-10-17,2021-11-16,2024-04-29,0,0
39,,1,19.0,1,synthetic-00290,2021-10-18,2021-11-17,2024-04-29,0,0
13,24.0,2,19.0,0,synthetic-00291,2021-10-19,2021-11-18,2024-04-29,0,0
46,9.0,1,9.0,1,synthetic-00292,2021-10-20,2021-11-19,2024-04-29,1,1
16,23.0,1,9.0,1,synthetic-00293,2021-10-21,2021-11-20,2024-04-29,0,0
27,18.0,1,19.0,1,synthetic-00294,2021-10-22,2021-11-21,2024-04-29,0,0
